date,open,high,low,close,volume
2021-08-23,3.105,3.196,3.102,3.195,246691228.0
2021-08-24,3.195,3.247,3.169,3.225,207494500.0
2021-08-25,3.225,3.244,3.193,3.241,133965100.0
2021-08-26,3.247,3.261,3.161,3.164,156674748.0
2021-08-27,3.16,3.197,3.141,3.158,143773535.0
2021-08-30,3.17,3.214,3.147,3.164,168855175.0
2021-08-31,3.163,3.168,3.086,3.106,195114152.0
2021-09-01,3.11,3.124,3.035,3.094,209544901.0
2021-09-02,3.08,3.097,3.039,3.046,194799838.0
2021-09-03,3.046,3.071,2.996,3.01,228797179.0
2021-09-06,3.012,3.13,2.993,3.129,288687323.0
2021-09-07,3.113,3.159,3.107,3.147,200785162.0
2021-09-08,3.152,3.18,3.115,3.123,133978408.0
2021-09-09,3.116,3.145,3.076,3.126,166283300.0
2021-09-10,3.113,3.145,3.089,3.135,138505154.0
2021-09-13,3.127,3.156,3.085,3.095,154726681.0
2021-09-14,3.094,3.174,3.085,3.14,195953276.0
2021-09-15,3.122,3.133,3.088,3.105,149915164.0
2021-09-16,3.103,3.103,3.032,3.035,155375565.0
2021-09-17,3.027,3.101,3.026,3.097,135898658.0
2021-09-22,3.057,3.1,3.051,3.068,129937867.0
2021-09-23,3.087,3.111,3.059,3.086,128892500.0
2021-09-24,3.077,3.147,3.071,3.109,220295893.0
2021-09-27,3.119,3.177,3.111,3.13,172280400.0
2021-09-28,3.118,3.17,3.102,3.114,132080949.0
2021-09-29,3.095,3.109,3.067,3.083,128649391.0
2021-09-30,3.088,3.155,3.084,3.148,168196320.0
2021-10-08,3.169,3.186,3.125,3.138,146534774.0
2021-10-11,3.147,3.156,3.092,3.096,123880621.0
2021-10-12,3.081,3.102,3.013,3.042,191120000.0
2021-10-13,3.04,3.11,3.04,3.109,160197174.0
2021-10-14,3.1,3.138,3.1,3.112,141220171.0
2021-10-15,3.11,3.18,3.088,3.176,148862000.0
2021-10-18,3.178,3.185,3.128,3.172,136330880.0
2021-10-19,3.18,3.208,3.168,3.191,115987412.0
2021-10-20,3.19,3.215,3.172,3.185,99612866.0
2021-10-21,3.188,3.2,3.155,3.174,84781520.0
2021-10-22,3.184,3.205,3.166,3.185,127467698.0
2021-10-25,3.182,3.237,3.182,3.236,116805756.0
2021-10-26,3.256,3.262,3.217,3.221,110950879.0
2021-10-27,3.221,3.221,3.182,3.205,85248602.0
2021-10-28,3.196,3.232,3.163,3.178,129880004.0
2021-10-29,3.186,3.25,3.151,3.249,162236957.0
2021-11-01,3.245,3.268,3.201,3.224,121975751.0
2021-11-02,3.227,3.266,3.205,3.228,130108238.0
2021-11-03,3.213,3.26,3.198,3.222,119039178.0
2021-11-04,3.233,3.275,3.233,3.26,115115318.0
2021-11-05,3.243,3.276,3.243,3.248,98630686.0
2021-11-08,3.24,3.287,3.234,3.278,106448868.0
2021-11-09,3.278,3.302,3.269,3.3,97771700.0
2021-11-10,3.287,3.3,3.236,3.296,144468143.0
2021-11-11,3.284,3.333,3.279,3.324,92895009.0
2021-11-12,3.318,3.335,3.3,3.324,91083967.0
2021-11-15,3.324,3.329,3.284,3.295,109479113.0
2021-11-16,3.292,3.315,3.28,3.282,99175252.0
2021-11-17,3.284,3.319,3.284,3.317,87741977.0
2021-11-18,3.305,3.308,3.268,3.274,135334985.0
2021-11-19,3.273,3.315,3.271,3.313,119882902.0
2021-11-22,3.322,3.395,3.314,3.393,138369244.0
2021-11-23,3.392,3.402,3.371,3.38,87442886.0
2021-11-24,3.381,3.392,3.357,3.362,90530953.0
2021-11-25,3.366,3.386,3.353,3.368,112002348.0
2021-11-26,3.367,3.39,3.35,3.364,64330753.0
2021-11-29,3.345,3.411,3.338,3.389,147854308.0
2021-11-30,3.395,3.408,3.364,3.386,131532105.0
2021-12-01,3.377,3.389,3.352,3.365,78513012.0
2021-12-02,3.354,3.375,3.346,3.355,71581205.0
2021-12-03,3.355,3.372,3.34,3.37,91855800.0
2021-12-06,3.354,3.368,3.293,3.294,135542200.0
2021-12-07,3.314,3.317,3.235,3.266,132836201.0
2021-12-08,3.266,3.32,3.266,3.314,113979509.0
2021-12-09,3.304,3.353,3.29,3.353,129892631.0
2021-12-10,3.335,3.377,3.324,3.37,79556660.0
2021-12-13,3.362,3.4,3.347,3.389,103787369.0
2021-12-14,3.37,3.396,3.37,3.384,77658739.0
2021-12-15,3.382,3.411,3.355,3.355,80333029.0
2021-12-16,3.361,3.384,3.357,3.378,74455876.0
2021-12-17,3.376,3.376,3.32,3.328,91741172.0
2021-12-20,3.322,3.328,3.218,3.225,181023473.0
2021-12-21,3.227,3.25,3.204,3.247,160419213.0
2021-12-22,3.249,3.273,3.248,3.26,95584871.0
2021-12-23,3.269,3.282,3.252,3.269,74430254.0
2021-12-24,3.268,3.275,3.181,3.196,118251170.0
2021-12-27,3.183,3.212,3.173,3.19,102621485.0
2021-12-28,3.193,3.229,3.178,3.226,142547829.0
2021-12-29,3.216,3.218,3.176,3.182,141497166.0
2021-12-30,3.18,3.233,3.176,3.219,194025382.0
2021-12-31,3.231,3.247,3.207,3.218,113567219.0
2022-01-04,3.236,3.242,3.14,3.154,132940778.0
2022-01-05,3.151,3.151,3.049,3.064,332667600.0
2022-01-06,3.043,3.054,2.999,3.034,394002193.0
2022-01-07,3.035,3.046,2.998,3.003,253289843.0
2022-01-10,3.0,3.018,2.958,2.998,256393952.0
2022-01-11,2.998,3.008,2.956,2.96,246058037.0
2022-01-12,2.984,3.039,2.984,3.035,339832167.0
2022-01-13,3.042,3.043,2.988,2.99,216175660.0
2022-01-14,2.975,3.027,2.967,3.015,210134515.0
2022-01-17,3.0,3.075,3.0,3.068,188036945.0
2022-01-18,3.057,3.075,3.038,3.047,163349259.0
2022-01-19,3.036,3.047,2.958,2.985,314388568.0
2022-01-20,2.973,3.002,2.962,2.975,180663593.0
2022-01-21,2.957,2.973,2.927,2.941,269310659.0
2022-01-24,2.929,2.972,2.924,2.962,237572197.0
2022-01-25,2.94,2.961,2.881,2.881,286977900.0
2022-01-26,2.893,2.914,2.86,2.906,229204561.0
2022-01-27,2.889,2.904,2.813,2.815,402578800.0
2022-01-28,2.848,2.869,2.794,2.819,305307391.0
2022-02-07,2.87,2.891,2.815,2.83,257569780.0
2022-02-08,2.826,2.826,2.697,2.758,454017488.0
2022-02-09,2.749,2.797,2.729,2.791,275942849.0
2022-02-10,2.794,2.8,2.711,2.74,370924390.0
2022-02-11,2.715,2.725,2.655,2.66,434959916.0
2022-02-14,2.648,2.687,2.626,2.646,394346335.0
2022-02-15,2.653,2.728,2.653,2.726,468559630.0
2022-02-16,2.733,2.75,2.718,2.725,314085732.0
2022-02-17,2.716,2.768,2.705,2.744,336006986.0
2022-02-18,2.727,2.74,2.713,2.739,249115500.0
2022-02-21,2.739,2.747,2.706,2.713,244861857.0
2022-02-22,2.689,2.692,2.656,2.678,373309353.0
2022-02-23,2.683,2.754,2.68,2.754,363213958.0
2022-02-24,2.721,2.759,2.662,2.693,469738049.0
2022-02-25,2.732,2.79,2.732,2.763,417152100.0
2022-02-28,2.763,2.787,2.741,2.786,297335100.0
2022-03-01,2.8,2.814,2.772,2.795,297158989.0
2022-03-02,2.777,2.777,2.721,2.741,323906960.0
2022-03-03,2.76,2.761,2.701,2.704,355783500.0
2022-03-04,2.681,2.71,2.652,2.662,421568753.0
2022-03-07,2.641,2.642,2.535,2.543,657431081.0
2022-03-08,2.54,2.568,2.486,2.507,823474261.0
2022-03-09,2.515,2.526,2.388,2.483,1000329680.0
2022-03-10,2.552,2.578,2.525,2.547,937142180.0
2022-03-11,2.502,2.585,2.484,2.583,574145449.0
2022-03-14,2.547,2.564,2.489,2.49,500412898.0
2022-03-15,2.455,2.54,2.421,2.421,720371101.0
2022-03-16,2.46,2.557,2.4,2.552,1118256150.0
2022-03-17,2.595,2.674,2.59,2.624,981918041.0
2022-03-18,2.61,2.642,2.582,2.635,407462114.0
2022-03-21,2.639,2.666,2.614,2.636,459004012.0
2022-03-22,2.623,2.626,2.589,2.602,304342630.0
2022-03-23,2.619,2.639,2.597,2.629,344175155.0
2022-03-24,2.605,2.638,2.571,2.62,434296027.0
2022-03-25,2.612,2.627,2.559,2.565,508855361.0
2022-03-28,2.54,2.545,2.494,2.512,545915442.0
2022-03-29,2.517,2.548,2.499,2.511,413883198.0
2022-03-30,2.527,2.61,2.524,2.61,544344827.0
2022-03-31,2.595,2.6,2.563,2.574,390435400.0
2022-04-01,2.55,2.599,2.548,2.58,421010194.0
2022-04-06,2.566,2.577,2.533,2.55,353504268.0
2022-04-07,2.535,2.547,2.495,2.496,442818632.0
2022-04-08,2.496,2.525,2.467,2.491,346638970.0
2022-04-11,2.46,2.465,2.378,2.386,605010321.0
2022-04-12,2.386,2.442,2.381,2.44,471392786.0
2022-04-13,2.418,2.433,2.391,2.394,478173706.0
2022-04-14,2.42,2.43,2.365,2.389,757305712.0
2022-04-15,2.36,2.406,2.339,2.385,522694074.0
2022-04-18,2.361,2.413,2.335,2.412,538176438.0
2022-04-19,2.398,2.43,2.368,2.377,438886235.0
2022-04-20,2.376,2.376,2.284,2.288,818080224.0
2022-04-21,2.27,2.304,2.227,2.24,655445194.0
2022-04-22,2.221,2.252,2.207,2.225,594208581.0
2022-04-25,2.177,2.192,2.103,2.103,1044159500.0
2022-04-26,2.103,2.15,2.083,2.086,1020151680.0
2022-04-27,2.066,2.2,2.057,2.2,1365175127.0
2022-04-28,2.172,2.194,2.138,2.158,778832322.0
2022-04-29,2.166,2.25,2.152,2.244,838179927.0
2022-05-05,2.2,2.244,2.174,2.212,765492397.0
2022-05-06,2.16,2.203,2.148,2.177,733627028.0
2022-05-09,2.165,2.194,2.145,2.162,327422055.0
2022-05-10,2.136,2.217,2.121,2.204,637878072.0
2022-05-11,2.206,2.323,2.203,2.272,1284483079.0
2022-05-12,2.256,2.295,2.251,2.277,611513015.0
2022-05-13,2.29,2.298,2.26,2.285,433217044.0
2022-05-16,2.295,2.319,2.256,2.257,460000370.0
2022-05-17,2.256,2.297,2.249,2.293,340268036.0
2022-05-18,2.291,2.31,2.277,2.29,297727959.0
2022-05-19,2.255,2.306,2.255,2.306,394460793.0
2022-05-20,2.317,2.352,2.31,2.347,384367482.0
2022-05-23,2.347,2.348,2.313,2.332,300704631.0
2022-05-24,2.331,2.331,2.246,2.246,571083102.0
2022-05-25,2.246,2.26,2.233,2.253,445035331.0
2022-05-26,2.254,2.271,2.212,2.249,496380206.0
2022-05-27,2.268,2.304,2.238,2.251,463126679.0
2022-05-30,2.262,2.289,2.252,2.276,359269334.0
2022-05-31,2.276,2.338,2.251,2.334,396981527.0
2022-06-01,2.333,2.366,2.321,2.354,413110272.0
2022-06-02,2.341,2.389,2.336,2.386,327388405.0
2022-06-06,2.38,2.483,2.379,2.477,465679666.0
2022-06-07,2.474,2.498,2.457,2.478,316063541.0
2022-06-08,2.477,2.498,2.433,2.494,392041028.0
2022-06-09,2.477,2.487,2.419,2.423,332064328.0
2022-06-10,2.408,2.481,2.404,2.48,314443000.0
2022-06-13,2.458,2.488,2.448,2.469,279982947.0
2022-06-14,2.443,2.48,2.388,2.475,420423193.0
2022-06-15,2.476,2.554,2.473,2.497,504100200.0
2022-06-16,2.498,2.539,2.494,2.507,365609738.0
2022-06-17,2.482,2.588,2.482,2.584,463346492.0
2022-06-20,2.59,2.661,2.588,2.626,434266350.0
2022-06-21,2.626,2.643,2.586,2.615,343337748.0
2022-06-22,2.614,2.642,2.595,2.596,337790527.0
2022-06-23,2.601,2.68,2.594,2.68,333311072.0
2022-06-24,2.697,2.74,2.678,2.738,344323264.0
2022-06-27,2.751,2.78,2.735,2.741,351170751.0
2022-06-28,2.739,2.767,2.69,2.754,301968582.0
2022-06-29,2.734,2.76,2.68,2.683,418819644.0
2022-06-30,2.689,2.751,2.689,2.73,385120220.0
2022-07-01,2.728,2.738,2.687,2.699,373317705.0
2022-07-04,2.682,2.75,2.663,2.75,422454210.0
2022-07-05,2.758,2.784,2.701,2.739,319075511.0
2022-07-06,2.734,2.773,2.694,2.725,355301270.0
2022-07-07,2.721,2.77,2.709,2.769,297701836.0
2022-07-08,2.779,2.803,2.727,2.731,341026117.0
