date,open,high,low,close,volume
2025-09-29,2625.66,2689.05,2618.13,2671.49,0
2025-09-26,2596.7,2625.68,2595.5,2602.9,0
2025-09-25,2621.11,2622.33,2604.38,2613.01,0
2025-09-24,2605.38,2619.92,2595.42,2610.55,0
2025-09-23,2639.45,2640.98,2593.27,2608.78,0
2025-09-22,2672.32,2672.32,2616.89,2633.85,0
2025-09-19,2658.11,2666.07,2647.22,2661.02,0
2025-09-18,2691.18,2693.0,2624.85,2655.96,0
2025-09-17,2665.06,2692.93,2661.04,2692.86,0
2025-09-16,2678.8,2682.84,2636.24,2661.08,0
2025-09-15,2662.91,2678.65,2651.48,2666.03,0
2025-09-12,2681.13,2685.94,2655.0,2664.19,0
2025-09-11,2640.21,2668.54,2625.26,2659.85,0
2025-09-10,2639.4,2668.63,2634.83,2657.11,0
2025-09-09,2623.91,2651.09,2616.92,2639.18,0
2025-09-08,2613.29,2626.5,2601.94,2617.4,0
2025-09-05,2567.9,2610.71,2566.43,2606.77,0
2025-09-04,2610.91,2611.61,2549.13,2560.62,0
2025-09-03,2633.05,2648.69,2588.38,2595.92,0
2025-09-02,2617.77,2638.24,2602.27,2617.63,0
2025-09-01,2618.49,2631.16,2608.19,2618.13,0
2025-08-29,2624.97,2656.4,2609.57,2609.57,0
2025-08-28,2604.44,2624.54,2584.61,2614.86,0
2025-08-27,2671.28,2671.5,2601.37,2607.48,0
2025-08-26,2691.32,2695.19,2662.82,2663.14,0
2025-08-25,2684.4,2700.29,2671.22,2691.93,0
2025-08-22,2655.34,2662.23,2627.73,2655.31,0
2025-08-21,2653.12,2660.5,2632.22,2649.68,0
2025-08-20,2623.25,2646.4,2607.13,2641.62,0
2025-08-19,2665.71,2675.22,2628.56,2635.51,0
2025-08-18,2666.84,2685.29,2656.22,2656.22,0
2025-08-15,2641.16,2661.54,2624.67,2658.91,0
2025-08-14,2653.23,2678.68,2639.24,2651.19,0
2025-08-13,2622.73,2644.5,2611.14,2644.5,0
2025-08-12,2587.5,2613.02,2586.14,2611.08,0
2025-08-11,2589.28,2591.8,2569.59,2585.98,0
2025-08-08,2578.01,2590.67,2570.84,2578.1,0
2025-08-07,2570.31,2586.58,2550.24,2583.83,0
2025-08-06,2562.76,2582.12,2555.65,2560.8,0
2025-08-05,2532.46,2565.04,2532.46,2564.86,0
2025-08-04,2495.94,2534.21,2494.64,2531.47,0
2025-08-01,2534.13,2551.55,2503.16,2507.14,0
2025-07-31,2596.08,2596.08,2534.78,2540.82,0
2025-07-30,2618.24,2646.47,2594.3,2617.02,0
2025-07-29,2619.17,2630.87,2594.98,2630.47,0
2025-07-28,2625.4,2656.74,2613.02,2627.81,0
2025-07-25,2637.49,2643.23,2615.32,2621.79,0
2025-07-24,2613.23,2646.68,2609.39,2641.95,0
2025-07-23,2607.93,2619.52,2591.25,2616.56,0
2025-07-22,2572.97,2589.74,2546.24,2589.64,0
2025-07-21,2547.15,2566.79,2544.09,2566.29,0
2025-07-18,2504.23,2531.19,2499.16,2530.54,0
2025-07-17,2494.13,2505.55,2482.24,2487.9,0
2025-07-16,2505.06,2511.66,2484.18,2491.92,0
2025-07-15,2521.7,2529.69,2470.59,2500.97,0
2025-07-14,2499.12,2518.58,2499.12,2508.19,0
2025-07-11,2470.14,2542.97,2470.14,2490.4,0
2025-07-10,2423.16,2470.84,2419.49,2466.41,0
2025-07-09,2440.33,2440.33,2415.71,2424.02,0
2025-07-08,2434.17,2447.33,2429.14,2447.33,0
2025-07-07,2427.44,2432.56,2413.25,2425.72,0
2025-07-04,2423.06,2448.07,2402.85,2431.37,0
2025-07-03,2442.74,2445.84,2408.09,2431.66,0
2025-07-02,2433.83,2446.05,2423.03,2439.07,0
2025-06-30,2433.55,2433.55,2400.74,2408.23,0
