date,open,high,low,close,volume
2025-09-29,46306.34,46387.06,46149.05,46316.07,0
2025-09-26,46101.45,46353.03,46051.92,46247.29,437563.63
2025-09-25,46097.43,46122.42,45785.17,45947.32,509189.13
2025-09-24,46368.94,46453.07,46096.39,46121.28,421042.38
2025-09-23,46364.11,46714.27,46217.58,46292.78,552041.88
2025-09-22,46206.69,46447.13,46035.83,46381.54,627459.13
2025-09-18,46056.55,46317.52,45954.73,46142.42,489549.63
2025-09-17,45778.4,46261.95,45687.59,46018.32,512402.13
2025-09-16,45919.54,45967.11,45667.42,45757.9,443409.88
2025-09-15,45848.39,45978.43,45771.88,45883.45,405192.38
2025-09-12,46077.14,46077.14,45813.93,45834.22,421739.19
2025-09-11,45577.09,46137.2,45577.09,46108.0,448346.5
2025-09-10,45731.5,45731.5,45380.06,45490.92,579920.5
2025-09-09,45547.62,45764.2,45433.51,45711.34,449655.38
2025-09-08,45430.61,45542.56,45277.73,45514.95,472242.82
2025-09-05,45656.49,45770.2,45211.78,45400.86,558925.13
2025-09-04,45204.87,45632.39,45160.74,45621.29,457494.69
2025-09-03,45309.43,45309.43,44980.36,45271.23,479211.13
2025-09-02,45287.73,45295.81,44948.16,45295.81,533186.32
2025-08-29,45590.96,45616.16,45377.21,45544.88,497403.82
2025-08-28,45581.03,45682.83,45442.68,45636.9,540887.69
2025-08-27,45417.46,45621.08,45372.78,45565.23,430986.69
2025-08-26,45236.83,45437.62,45192.29,45418.07,490983.32
2025-08-25,45605.25,45605.25,45273.09,45282.47,393964.88
2025-08-22,44952.88,45757.84,44952.88,45631.74,484727.13
2025-08-21,44808.21,44892.61,44579.03,44785.5,414563.38
2025-08-20,44922.7,45033.75,44767.97,44938.31,512553.32
2025-08-19,44952.36,45207.39,44816.5,44922.27,466012.38
2025-08-18,44963.17,44998.83,44868.32,44911.82,416460.63
2025-08-15,45159.91,45203.52,44897.98,44946.12,547278.19
2025-08-14,44890.84,44948.7,44690.5,44911.26,453533.19
2025-08-13,44571.53,44949.12,44571.53,44922.27,521432.0
2025-08-12,44050.53,44497.59,44050.53,44458.61,442859.82
2025-08-11,44184.36,44273.03,43911.31,43975.09,431515.69
2025-08-08,44044.95,44272.75,44028.94,44175.61,452505.82
2025-08-07,44430.09,44498.43,43799.2,43968.64,492481.19
2025-08-06,44196.61,44290.09,44017.71,44193.12,518973.82
2025-08-05,44200.07,44308.5,43923.81,44111.74,466507.5
2025-08-04,43724.02,44188.36,43724.02,44173.64,519870.0
2025-08-01,43781.77,43781.77,43340.68,43588.58,705157.5
2025-07-31,44665.82,44665.82,44049.01,44130.98,689045.63
2025-07-30,44677.9,44739.53,44261.71,44461.28,464221.88
2025-07-29,44833.74,44883.66,44568.83,44632.99,492116.19
2025-07-28,44946.98,44946.98,44739.96,44837.56,416514.82
2025-07-25,44757.28,44944.46,44650.59,44901.92,371732.32
2025-07-24,44776.41,44912.27,44674.57,44693.91,453005.5
2025-07-23,44661.12,45016.71,44638.44,45010.29,446633.19
2025-07-22,44338.62,44542.53,44272.6,44502.44,483568.32
2025-07-21,44368.4,44601.85,44311.42,44323.07,446594.38
2025-07-18,44571.68,44571.68,44224.59,44342.19,497807.19
2025-07-17,44229.88,44558.05,44200.04,44484.49,455314.82
2025-07-16,44152.74,44260.19,43758.98,44254.78,450193.19
2025-07-15,44459.84,44504.27,44002.39,44023.29,498928.13
2025-07-14,44346.15,44472.13,44237.28,44459.65,410250.13
2025-07-11,44480.77,44480.77,44275.25,44371.51,474098.19
2025-07-10,44427.75,44775.47,44372.92,44650.64,452341.0
2025-07-09,44327.13,44556.68,44225.88,44458.3,533538.0
2025-07-08,44378.58,44436.96,44201.37,44240.76,445679.0
2025-07-07,44803.36,44803.36,44160.32,44406.36,442350.13
2025-07-04,44565.75,44885.83,44550.42,44828.53,346629.19
2025-07-03,44565.75,44885.83,44550.42,44828.53,346629.19
2025-07-02,44455.66,44557.82,44354.01,44484.42,502603.38
2025-07-01,44061.49,44604.15,44013.54,44494.94,593607.88
